The measurements of stack and heap usage are taken every 10 seconds fot 10 minutes.

I (545484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (545744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (546144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (546154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (555494) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (555744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (556144) [COMM]: Stack used: 2812 words | remaining: 1284 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (556154) [SYSTEM]: Stack used: 2352 words | remaining: 1744 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
I (565484) [ACQUISITION]: Stack used: 2532 words | remaining: 1564 words || Heap used: 108992 B | free: 181584 B | min free: 176968 B
I (565744) [AUDIO]: Stack used: 2124 words | remaining: 1972 words || Heap used: 107432 B | free: 183144 B | min free: 176968 B
